model,speed_rpm,feed_mm_tooth,depth_mm,life_min,event
Ridge,1750.0,0.045,2.5,80.0,0
Ridge,1750.0,0.045,2.75,80.0,0
Ridge,1750.0,0.045,3.0,80.0,0
Ridge,1750.0,0.045,3.25,80.0,0
Ridge,1750.0,0.045,3.5,80.0,0
Ridge,1750.0,0.04625,2.5,80.0,0
Ridge,1750.0,0.04625,2.75,80.0,0
Ridge,1750.0,0.04625,3.0,80.0,0
Ridge,1750.0,0.04625,3.25,80.0,0
Ridge,1750.0,0.04625,3.5,80.0,0
Ridge,1750.0,0.0475,2.5,80.0,0
Ridge,1750.0,0.0475,2.75,80.0,0
Ridge,1750.0,0.0475,3.0,80.0,0
Ridge,1750.0,0.0475,3.25,80.0,0
Ridge,1750.0,0.0475,3.5,80.0,0
Ridge,1750.0,0.04875,2.5,80.0,0
Ridge,1750.0,0.04875,2.75,80.0,0
Ridge,1750.0,0.04875,3.0,80.0,0
Ridge,1750.0,0.04875,3.25,80.0,0
Ridge,1750.0,0.04875,3.5,80.0,0
Ridge,1750.0,0.05,2.5,73.81380063493881,1
Ridge,1750.0,0.05,2.75,72.99960596473966,1
Ridge,1750.0,0.05,3.0,72.24044090461548,1
Ridge,1750.0,0.05,3.25,71.5286311005636,1
Ridge,1750.0,0.05,3.5,70.8579540584249,1
Ridge,1750.0,0.05125,2.5,61.33652333492667,1
Ridge,1750.0,0.05125,2.75,60.54977653658427,1
Ridge,1750.0,0.05125,3.0,59.82099374652953,1
Ridge,1750.0,0.05125,3.25,59.14166462793848,1
Ridge,1750.0,0.05125,3.5,58.50527611411721,1
Ridge,1750.0,0.0525,2.5,52.39955717867285,1
Ridge,1750.0,0.0525,2.75,51.65636615901987,1
Ridge,1750.0,0.0525,3.0,50.970663349878016,1
Ridge,1750.0,0.0525,3.25,50.333691390274964,1
Ridge,1750.0,0.0525,3.5,49.7387925797687,1
Ridge,1750.0,0.05375,2.5,45.54895935375316,1
Ridge,1750.0,0.05375,2.75,44.850455802084426,1
Ridge,1750.0,0.05375,3.0,44.207638248834066,1
Ridge,1750.0,0.05375,3.25,43.61187706328579,1
Ridge,1750.0,0.05375,3.5,43.05682908137395,1
Ridge,1750.0,0.055,2.5,40.07701028179857,1
Ridge,1750.0,0.055,2.75,39.420818382611856,1
Ridge,1750.0,0.055,3.0,38.8180298038435,1
Ridge,1750.0,0.055,3.25,38.26050783419874,1
Ridge,1750.0,0.055,3.5,37.74175111540116,1
Ridge,1762.5,0.045,2.5,80.0,0
Ridge,1762.5,0.045,2.75,80.0,0
Ridge,1762.5,0.045,3.0,80.0,0
Ridge,1762.5,0.045,3.25,80.0,0
Ridge,1762.5,0.045,3.5,80.0,0
Ridge,1762.5,0.04625,2.5,80.0,0
Ridge,1762.5,0.04625,2.75,80.0,0
Ridge,1762.5,0.04625,3.0,80.0,0
Ridge,1762.5,0.04625,3.25,80.0,0
Ridge,1762.5,0.04625,3.5,80.0,0
Ridge,1762.5,0.0475,2.5,80.0,0
Ridge,1762.5,0.0475,2.75,80.0,0
Ridge,1762.5,0.0475,3.0,80.0,0
Ridge,1762.5,0.0475,3.25,80.0,0
Ridge,1762.5,0.0475,3.5,80.0,0
Ridge,1762.5,0.04875,2.5,76.56779759271967,1
Ridge,1762.5,0.04875,2.75,75.8137544359864,1
Ridge,1762.5,0.04875,3.0,75.11002524563928,1
Ridge,1762.5,0.04875,3.25,74.4494452478354,1
Ridge,1762.5,0.04875,3.5,73.8266618221397,1
Ridge,1762.5,0.05,2.5,63.7300222750928,1
Ridge,1762.5,0.05,2.75,62.984379387585285,1
Ridge,1762.5,0.05,3.0,62.29320938165151,1
