dataset,series_id,threshold_mm,life_min,event,censor_time_min,final_wear_mm,speed_rpm,feed_mm_rev,depth_mm,material_family,material_steel,initial_wear_mm,log_feed_ref,log_depth_ref
NASA,case_1,0.3,27.333333333333332,1,,0.44,826.0,0.5,1.5,cast_iron,0.0,0.0,0.6931471805599453,0.6931471805599453
NASA,case_2,0.3,40.8,1,,0.55,826.0,0.5,0.75,cast_iron,0.0,0.08,0.6931471805599453,0.0
NASA,case_3,0.3,59.4,1,,0.55,826.0,0.25,0.75,cast_iron,0.0,0.0,0.0,0.0
NASA,case_4,0.3,17.454545454545453,1,,0.49,826.0,0.25,1.5,cast_iron,0.0,0.08,0.0,0.6931471805599453
NASA,case_5,0.3,6.2,1,,0.74,826.0,0.5,1.5,steel,1.0,0.0,0.6931471805599453,0.6931471805599453
NASA,case_7,0.3,13.2,1,,0.46,826.0,0.25,0.75,steel,1.0,0.0,0.0,0.0
NASA,case_8,0.3,6.0,1,,0.62,826.0,0.5,0.75,steel,1.0,0.0,0.6931471805599453,0.0
NASA,case_9,0.3,22.636363636363633,1,,0.81,826.0,0.5,1.5,cast_iron,0.0,0.0,0.6931471805599453,0.6931471805599453
NASA,case_10,0.3,23.727272727272727,1,,0.7,826.0,0.25,1.5,cast_iron,0.0,0.0,0.0,0.6931471805599453
NASA,case_11,0.3,54.8,1,,0.76,826.0,0.25,0.75,cast_iron,0.0,0.0,0.0,0.0
NASA,case_12,0.3,37.5,1,,0.65,826.0,0.5,0.75,cast_iron,0.0,0.05,0.6931471805599453,0.0
NASA,case_13,0.3,11.333333333333332,1,,1.53,826.0,0.25,0.75,steel,1.0,0.1,0.0,0.0
NASA,case_14,0.3,7.636363636363637,1,,1.14,826.0,0.5,0.75,steel,1.0,0.09,0.6931471805599453,0.0
NASA,case_15,0.3,3.6666666666666656,1,,0.7,826.0,0.25,1.5,steel,1.0,0.15,0.0,0.6931471805599453
NASA,case_16,0.3,1.1249999999999996,1,,0.62,826.0,0.5,1.5,steel,1.0,0.24,0.6931471805599453,0.6931471805599453
