VMD Analysis Summary - NASA Milling Dataset
=======================================================

VMD parameters: K=5, alpha=2000, tau=0
Sensors analyzed: vib_spindle, vib_table, AE_table, AE_spindle, smcAC, smcDC
Total VMD features: 390
Best |r|: 0.5607
Top-10 avg |r|: 0.5143

Raw best |r|: 0.4806
VMD best |r|: 0.5607
Improvement: +16.7%

All VMD Feature Correlations with VB (sorted by |r|)
-------------------------------------------------------
  vib_spindle_m3_skewness                        r = +0.5607
  smcDC_m5_entropy                               r = -0.5604
  vib_spindle_m5_kurtosis                        r = +0.5542
  vib_table_m4_center_freq                       r = -0.5287
  vib_spindle_m1_skewness                        r = +0.5079
  vib_spindle_m5_entropy                         r = -0.5044
  smcDC_m4_entropy                               r = -0.4876
  AE_table_m2_center_freq                        r = -0.4849
  AE_table_m2_fft_peak_freq                      r = -0.4802
  vib_spindle_m3_kurtosis                        r = +0.4741
  vib_table_m4_fft_peak_freq                     r = -0.4724
  smcAC_m3_center_freq                           r = +0.4717
  vib_spindle_m3_entropy                         r = -0.4651
  vib_spindle_m1_kurtosis                        r = +0.4582
  smcAC_m2_center_freq                           r = +0.4571
  vib_spindle_m4_kurtosis                        r = +0.4564
  smcAC_m2_fft_peak_freq                         r = +0.4543
  vib_spindle_m4_entropy                         r = -0.4433
  smcAC_m3_fft_peak_freq                         r = +0.4386
  smcAC_m1_fft_peak_freq                         r = -0.4318
  smcDC_m2_entropy                               r = -0.4242
  vib_spindle_m2_skewness                        r = +0.4073
  smcDC_m4_kurtosis                              r = +0.3998
  AE_spindle_m2_center_freq                      r = -0.3795
  smcDC_m3_entropy                               r = -0.3777
  vib_spindle_m2_kurtosis                        r = +0.3721
  AE_spindle_m2_fft_peak_freq                    r = -0.3644
  smcDC_m2_skewness                              r = -0.3574
  smcDC_m2_kurtosis                              r = +0.3515
  vib_table_m2_center_freq                       r = -0.3427
  vib_table_m2_fft_peak_freq                     r = -0.3401
  AE_spindle_m4_skewness                         r = -0.3264
  smcAC_m4_center_freq                           r = -0.3200
  smcAC_m4_fft_peak_freq                         r = -0.3166
  vib_spindle_m2_entropy                         r = -0.3003
  vib_spindle_m3_fft_peak_freq                   r = -0.2784
  vib_spindle_m3_center_freq                     r = -0.2783
  smcDC_m5_kurtosis                              r = +0.2656
  AE_table_m4_skewness                           r = -0.2646
  AE_spindle_m1_skewness                         r = +0.2612
  smcDC_m4_fft_peak_freq                         r = +0.2529
  smcDC_m4_center_freq                           r = +0.2450
  AE_spindle_m2_skewness                         r = +0.2440
  smcDC_m3_kurtosis                              r = +0.2438
  AE_table_m5_fft_peak_freq                      r = -0.2357
  AE_table_m5_center_freq                        r = -0.2270
  AE_spindle_m2_entropy                          r = -0.2224
  vib_table_m4_entropy                           r = +0.2123
  smcAC_m2_entropy                               r = -0.2049
  smcDC_m5_skewness                              r = +0.2039
  smcAC_m5_center_freq                           r = +0.1895
  vib_spindle_m4_center_freq                     r = -0.1833
  smcAC_m5_fft_peak_freq                         r = +0.1812
  AE_spindle_m5_entropy                          r = -0.1796
  vib_table_m4_skewness                          r = +0.1780
  AE_spindle_m4_entropy                          r = -0.1767
  smcDC_m5_fft_peak_freq                         r = -0.1732
  vib_spindle_m4_fft_peak_freq                   r = -0.1723
  AE_table_m2_skewness                           r = +0.1708
  vib_table_m4_kurtosis                          r = -0.1665
  smcDC_m5_center_freq                           r = -0.1650
  AE_spindle_m2_kurtosis                         r = +0.1607
  AE_spindle_m3_skewness                         r = +0.1536
  smcAC_m1_skewness                              r = +0.1504
  AE_spindle_m3_entropy                          r = -0.1475
  vib_spindle_m5_fft_peak_freq                   r = -0.1460
  vib_spindle_m5_center_freq                     r = -0.1454
  vib_table_m3_fft_peak_freq                     r = -0.1452
  vib_table_m3_center_freq                       r = -0.1432
  vib_spindle_m2_center_freq                     r = -0.1424
  smcAC_m4_entropy                               r = -0.1415
  smcAC_m1_center_freq                           r = -0.1362
  smcAC_m3_kurtosis                              r = -0.1344
  vib_table_m1_entropy                           r = +0.1212
  smcDC_m1_skewness                              r = -0.1198
  vib_spindle_m2_fft_peak_freq                   r = -0.1184
  AE_table_m1_skewness                           r = +0.1178
  vib_spindle_m5_skewness                        r = +0.1161
  vib_table_m1_skewness                          r = -0.1089
  AE_spindle_m1_entropy                          r = -0.1068
  AE_table_m4_center_freq                        r = -0.1064
  vib_table_m5_kurtosis                          r = -0.1037
  AE_spindle_m5_skewness                         r = -0.1012
  AE_table_m5_skewness                           r = +0.1001
  smcDC_m2_center_freq                           r = -0.0999
  smcDC_m2_fft_peak_freq                         r = -0.0991
  vib_table_m3_skewness                          r = +0.0918
  AE_table_m4_fft_peak_freq                      r = -0.0908
  AE_spindle_m5_fft_peak_freq                    r = -0.0899
  smcAC_m5_kurtosis                              r = -0.0881
  vib_spindle_m1_entropy                         r = +0.0876
  smcAC_m5_entropy                               r = +0.0865
  AE_spindle_m1_kurtosis                         r = -0.0855
  vib_table_m1_center_freq                       r = -0.0836
  smcAC_m4_kurtosis                              r = +0.0829
  smcDC_m1_mean                                  r = +0.0824
